Row Labels,Average of mean_test_score
-1,
1,0.748351648
2,0.748351648
5,0.748351648
10,0.748351648
20,0.748351648
30,0.748351648
45,0.748351648
60,0.748351648
80,0.748351648
100,0.748351648
-1 Total,0.748351648
-0.1,
1,0.748351648
2,0.748351648
5,0.748351648
10,0.748351648
20,0.748351648
30,0.748351648
45,0.748351648
60,0.748351648
80,0.748351648
100,0.748351648
-0.1 Total,0.748351648
-0.031622777,
1,0.748351648
2,0.748351648
5,0.748351648
10,0.748351648
20,0.748351648
30,0.748351648
45,0.748351648
60,0.748351648
80,0.748351648
100,0.748351648
-0.0316227766016838 Total,0.748351648
-0.01,
1,0.762637363
2,0.762637363
5,0.78021978
10,0.782417582
20,0.782417582
30,0.782417582
45,0.782417582
60,0.782417582
80,0.782417582
100,0.782417582
-0.01 Total,0.778241758
-0.003162278,
1,0.770879121
2,0.770879121
5,0.786263736
10,0.784065934
20,0.784065934
30,0.784065934
45,0.784065934
60,0.784065934
80,0.784065934
100,0.784065934
-0.00316227766016837 Total,0.781648352
-0.001,
1,0.770879121
2,0.770879121
5,0.786263736
10,0.784065934
20,0.784065934
30,0.784065934
45,0.784065934
60,0.784065934
80,0.784065934
100,0.784065934
-0.001 Total,0.781648352
-0.000316228,
1,0.770879121
2,0.770879121
5,0.786263736
10,0.784065934
20,0.784065934
30,0.784065934
45,0.784065934
60,0.784065934
80,0.784065934
100,0.784065934
-0.000316227766016837 Total,0.781648352
0,
1,0.774175824
2,0.774175824
5,0.764835165
10,0.778571429
20,0.784615385
30,0.784615385
45,0.784615385
60,0.784615385
80,0.784615385
100,0.784615385
0 Total,0.779945055
0.000316228,
1,0.774175824
2,0.774175824
5,0.764835165
10,0.778571429
20,0.784615385
30,0.784615385
45,0.784615385
60,0.784615385
80,0.784615385
100,0.784615385
0.000316227766016837 Total,0.779945055
0.001,
1,0.774175824
2,0.774175824
5,0.764835165
10,0.778571429
20,0.784615385
30,0.784615385
45,0.784615385
60,0.784615385
80,0.784615385
100,0.784615385
0.001 Total,0.779945055
0.003162278,
1,0.774175824
2,0.774175824
5,0.764835165
10,0.778571429
20,0.784615385
30,0.784615385
45,0.784615385
60,0.784615385
80,0.784615385
100,0.784615385
0.00316227766016837 Total,0.779945055
0.01,
1,0.734615385
2,0.741208791
5,0.736263736
10,0.757692308
20,0.781868132
30,0.781868132
45,0.781868132
60,0.781868132
80,0.781868132
100,0.781868132
0.01 Total,0.766098901
0.031622777,
1,0.671978022
2,0.7
5,0.737362637
10,0.753296703
20,0.752197802
30,0.752197802
45,0.752197802
60,0.752197802
80,0.752197802
100,0.752197802
0.0316227766016838 Total,0.737582418
0.1,
1,0.614835165
2,0.614835165
5,0.62032967
10,0.608791209
20,0.608791209
30,0.608791209
45,0.608791209
60,0.608791209
80,0.608791209
100,0.608791209
0.1 Total,0.611153846
Grand Total,0.757346939
