param_Boost__n_estimators,test acc,train acc
1,0.8205128205128205,0.9258241758241759
2,0.8205128205128205,0.9258241758241759
5,0.8269230769230769,0.9769230769230769
10,0.8307692307692308,0.978021978021978
20,0.8307692307692308,0.978021978021978
30,0.8307692307692308,0.978021978021978
40,0.8307692307692308,0.978021978021978
50,0.8307692307692308,0.978021978021978
60,0.8307692307692308,0.978021978021978
70,0.8307692307692308,0.978021978021978
80,0.8307692307692308,0.978021978021978
90,0.8307692307692308,0.978021978021978
100,0.8307692307692308,0.978021978021978
